1;Prefiero evitar perder $100 que ganar $200.;likert;1: Totalmente en desacuerdo, 2: En desacuerdo, 3: Neutral, 4: De acuerdo, 5: Totalmente de acuerdo
2;Si un amigo me ofrece $50, pero el riesgo de perder $50 está presente, probablemente rechazaría la oferta.;likert;1: Totalmente en desacuerdo, 2: En desacuerdo, 3: Neutral, 4: De acuerdo, 5: Totalmente de acuerdo
3;Cuando enfrento pérdidas financieras, me siento más angustiado que cuando obtengo ganancias de la misma magnitud.;likert;1: Totalmente en desacuerdo, 2: En desacuerdo, 3: Neutral, 4: De acuerdo, 5: Totalmente de acuerdo
4;Evito arriesgar dinero si sé que podría perderlo, incluso si hay una alta probabilidad de ganarlo.;likert;1: Totalmente en desacuerdo, 2: En desacuerdo, 3: Neutral, 4: De acuerdo, 5: Totalmente de acuerdo
5;Prefiero no invertir en oportunidades de alto riesgo, incluso si las probabilidades de perder son bajas.;likert;1: Totalmente en desacuerdo, 2: En desacuerdo, 3: Neutral, 4: De acuerdo, 5: Totalmente de acuerdo
6; Prefiero mantener mi situación financiera actual en lugar de cambiarla, aunque cambiarla podría mejorar mi situación.;likert;1: Totalmente en desacuerdo, 2: En desacuerdo, 3: Neutral, 4: De acuerdo, 5: Totalmente de acuerdo
7;Si tengo que elegir entre dos alternativas que me benefician igualmente, opto por la opción que más me recuerde a mi situación actual.;likert;1: Totalmente en desacuerdo, 2: En desacuerdo, 3: Neutral, 4: De acuerdo, 5: Totalmente de acuerdo
8; Me cuesta cambiar de banco, incluso si otro ofrece mejores condiciones.;likert;1: Totalmente en desacuerdo, 2: En desacuerdo, 3: Neutral, 4: De acuerdo, 5: Totalmente de acuerdo
9;Prefiero no cambiar mis hábitos de ahorro, incluso si pudiera ganar más con un nuevo enfoque.;likert;1: Totalmente en desacuerdo, 2: En desacuerdo, 3: Neutral, 4: De acuerdo, 5: Totalmente de acuerdo
10;Aunque conozco mejores métodos de inversión, prefiero seguir invirtiendo como lo he hecho siempre.;likert;1: Totalmente en desacuerdo, 2: En desacuerdo, 3: Neutral, 4: De acuerdo, 5: Totalmente de acuerdo
11;Prefiero recibir $100 hoy que $120 dentro de un mes.;likert;1: Totalmente en desacuerdo, 2: En desacuerdo, 3: Neutral, 4: De acuerdo, 5: Totalmente de acuerdo
12;Si tengo que tomar una decisión financiera que implique pagar ahora para ahorrar más en el futuro, prefiero esperar y gastar ahora.;likert;1: Totalmente en desacuerdo, 2: En desacuerdo, 3: Neutral, 4: De acuerdo, 5: Totalmente de acuerdo
13;A menudo opto por gastar en algo pequeño ahora, incluso si pudiera ahorrar más para algo mejor en el futuro.;likert;1: Totalmente en desacuerdo, 2: En desacuerdo, 3: Neutral, 4: De acuerdo, 5: Totalmente de acuerdo
14;Si me ofrecen $50 ahora o $100 en un mes, ¿cuál elegiría?;likert;1: Totalmente en desacuerdo, 2: En desacuerdo, 3: Neutral, 4: De acuerdo, 5: Totalmente de acuerdo
15;Si se le ofrece una cantidad de dinero para gastar ahora o una mayor cantidad para gastar en seis meses, ¿cuál elegiría?;likert;1: Totalmente en desacuerdo, 2: En desacuerdo, 3: Neutral, 4: De acuerdo, 5: Totalmente de acuerdo
16;"Divido mi dinero en diferentes ""cuentas mentales"" para diferentes tipos de gastos (ej. ahorro, diversión, emergencias).";likert;1: Totalmente en desacuerdo, 2: En desacuerdo, 3: Neutral, 4: De acuerdo, 5: Totalmente de acuerdo
17;Si tiene dos cuentas de ahorro, una para emergencias y otra para vacaciones, ¿qué tan probable es que use el dinero de la cuenta de emergencias para pagar unas vacaciones si es necesario?;likert;1: Totalmente en desacuerdo, 2: En desacuerdo, 3: Neutral, 4: De acuerdo, 5: Totalmente de acuerdo
18;A menudo gasto más en una categoría específica (por ejemplo, ocio o entretenimiento) porque he separado ese dinero para ese fin, incluso si pudiera usarlo mejor para otra necesidad;likert;1: Totalmente en desacuerdo, 2: En desacuerdo, 3: Neutral, 4: De acuerdo, 5: Totalmente de acuerdo
19;Si tiene una tarjeta de crédito con una tasa de interés alta y una cuenta de ahorros con una tasa de interés baja, ¿qué tan probable es que use el dinero de la cuenta de ahorros para pagar la deuda de la tarjeta de crédito?;likert;1: Totalmente en desacuerdo, 2: En desacuerdo, 3: Neutral, 4: De acuerdo, 5: Totalmente de acuerdo
20;A menudo asigno mi dinero a categorías específicas (por ejemplo, ‘para diversión’, ‘para ahorro’, ‘para emergencias’) y evito usarlo para otros fines, incluso si fuera más lógico o beneficioso hacerlo;likert;1: Totalmente en desacuerdo, 2: En desacuerdo, 3: Neutral, 4: De acuerdo, 5: Totalmente de acuerdo
